🎀测试,#genre#
寰宇新闻,http://60.249.146.250:8547/playlist.m3u8
寰宇财经,https://wabc.ml/hlk.php?id=141
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
东森新闻台,http://60.249.146.250:8594/playlist.m3u8
民视新闻台,http://60.249.146.250:8596/playlist.m3u8
民视新闻,https://wabc.ml/hlk.php?id=1011
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
华视新闻,http://60.249.146.250:8592/playlist.m3u8
三立新闻,http://60.249.146.250:8597/playlist.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲ATV,https://juyunlive.juyun.tv/live/24950198.m3u8
无线新闻,http://radius.8866.org:880/hls/82/index.m3u8
无线财经,http://radius.8866.org:880/hls/83/index.m3u8
卫视中文台,http://60.249.146.250:8579/playlist.m3u8
卫视电影台,http://60.249.146.250:8553/playlist.m3u8
东森电影,http://120.84.96.46:808/hls/32/index.m3u8
东森电影,http://120.84.96.43:808/hls/32/index.m3u8
东森电影,http://120.84.96.42:808/hls/32/index.m3u8
东森电影,http://120.84.96.32:808/hls/32/index.m3u8
东森电影,http://120.84.96.29:808/hls/32/index.m3u8
东森电影,http://120.84.96.27:808/hls/32/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
澳门莲花,http://ye23.win/iptv/lotustv2020.php
澳门莲花,http://nettvpro.live/hls/lotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd
澳门莲花,http://120.84.96.33:808/hls/24/index.m3u8
纬来综合台,http://60.249.146.250:8518/playlist.m3u8
纬来体育台,http://60.249.146.250:8563/playlist.m3u8
纬来日本台,http://60.249.146.250:8591/playlist.m3u8
天映经典,http://120.84.96.32:808/hls/85/index.m3u8?zgangd
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8?zgangd
三立台湾TW,http://59.125.101.187:8501/playlist.m3u8
三立台湾,http://60.249.146.250:8534/playlist.m3u8
三立台湾,http://59.125.101.187:8501/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
三立都会台,http://60.249.146.250:8557/playlist.m3u8
赛马直击,http://gslb.cdn.hk.chinamobile.com/live/d2afb43f61464fc5a3d3b1b0a4c187a1/11a674a3cca94ceaafab4bd0e2ae634c-2.m3u8
明珠台,http://radius.8866.org:880/hls/84/index.m3u8
翡翠台,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=67
翡翠台,http://radius.8866.org:880/hls/80/index.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
民视台湾,https://wabc.ml/hlk.php?id=97
美食星球,https://wabc.ml/hlk.php?id=143
龙祥时代,http://120.84.96.32:808/hls/35/index.m3u8?zgangd
龙华戏剧,http://59.125.98.83:8534/playlist.m3u8
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d?zgangd
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://59.125.98.83:8535/playlist.m3u8
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d?zgangd
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华经典,https://wabc.ml/hlk.php?id=234
龙华电影,https://wabc.ml/hlk.php?id=132
靖天综合,https://wabc.ml/hlk.php?id=86
靖天映画,https://wabc.ml/hlk.php?id=114
靖天欢乐,https://wabc.ml/hlk.php?id=107
靖天国际,https://wabc.ml/hlk.php?id=155
寰宇综合,https://wabc.ml/hlk.php?id=142
寰宇新闻台湾台,https://wabc.ml/hlk.php?id=137
华视,http://60.249.146.250:8503/playlist.m3u8
公视,http://60.249.146.250:8505/playlist.m3u8
中视,http://60.249.146.250:8502/playlist.m3u8
耀才財經台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
动物星球,http://60.249.146.250:8512/playlist.m3u8
东森综合台,http://60.249.146.250:8581/playlist.m3u8
东森幼幼台,http://60.249.146.250:8515/playlist.m3u8
东森超视,http://60.249.146.250:8582/playlist.m3u8
东风卫视,http://60.249.146.250:8585/playlist.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
博斯无限,https://wabc.ml/hlk.php?id=129
博斯网球,https://wabc.ml/hlk.php?id=53
博斯魅力,https://wabc.ml/hlk.php?id=135
博斯高球1,https://wabc.ml/hlk.php?id=108
博期无限II,https://wabc.ml/hlk.php?id=418
八大综合台,http://60.249.146.250:8520/playlist.m3u8
八大第一台,http://60.249.146.250:8519/playlist.m3u8
澳視卫星,http://61.244.22.5/ch3/ch3.live/chunklist_w30461384.m3u8
澳视综艺,http://61.244.22.5/ch6/definst/hd_ch6.live/playlist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8?$全网高清720P
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8?$全网高清720P
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳门综艺,http://61.244.22.4/ch6/definst/hd_ch6.live/playlist.m3u8
澳门资讯,http://61.244.22.5/ch5/definst/info_ch5.live/playlist.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/master.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳门资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳门体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
澳门macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
ViuTV6,http://radius.8866.org:880/hls/85/index.m3u8
ViuTV6,http://kkmix1.f3322.net:762/hls/ch2/s.m3u8?zgangd
ViuTV,http://radius.8866.org:880/hls/86/index.m3u8
viu6,http://kkmix1.f3322.net:762/hls/ch2/s.m3u8
SMART,https://wabc.ml/hlk.php?id=68
RHK32,http://radius.8866.org:880/hls/90/index.m3u8
RHK31,http://radius.8866.org:880/hls/89/index.m3u8
NHK国际频道,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK国际频道,https://nhkw-zh-hlscomp.akamaized.net:443/8thz5iufork8wjip/playlist.m3u8
NHK国际频道,http://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
NBC News Now F,http://nbcnews2.akamaized.net/hls/live/723426-b/NBCNewsPlaymaker24x7Linear99a3a827-ua/master.m3u8
MIGU24小时体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
J2,http://120.84.96.32:808/hls/86/index.m3u8?zgangd
HQKKQTV,https://wabc.ml/hlk.php?id=422
HBO亚洲台,http://60.249.146.250:8580/playlist.m3u8
HBO其他,https://wabc.ml/hlk.php?id=228
Good2,https://wabc.ml/hlk.php?id=103
Global News,https://live.corusdigitaldev.com/groupd/live/8970c668-40cd-4ca9-8c4d-25fd04f619b5/live.isml/.m3u8
Global News,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
Global News,https://live.corusdigitaldev.com/groupb/live/215422c9-d1b9-4009-aaca-32e403f22b01/live.isml/.m3u8
Global News,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8
FOXMOVIES,http://60.249.146.250:8560/playlist.m3u8
FOX,http://60.249.146.250:8561/playlist.m3u8
Fox Sports News,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master.m3u8
fashion TV,https://fashiontv-fashiontv-2-es.samsung.wurl.com/manifest/playlist.m3u8
ET综合,https://wabc.ml/hlk.php?id=146
EDGESport,https://edgesports-sportstribal.amagi.tv/playlist.m3u8
EDGEsport,https://edgesport-samsungus.amagi.tv/playlist.m3u8
Dubai Racing 3,http://dmithrvll.cdn.mangomolo.com/dubaimubasher/smil:dubaimubasher.smil/playlist.m3u8
Dubai Racing 2,http://dmithrvll.cdn.mangomolo.com/dubairacing/smil:dubairacing.smil/chunklist_b1600000.m3u8
Discovery,http://60.249.146.250:8510/playlist.m3u8
CNA亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
BBC World News,https://livecdn.fptplay.net/sdb/bbcnew_2000.stream/chunklist_b2500000.m3u8
BBC Lifestyle,https://livecdn.fptplay.net/sdb/bbclifestyle_2000.stream/chunklist_b2500000.m3u8
BBC Earth,https://livecdn.fptplay.net/hda2/bbcearth_vhls.smil/chunklist_b5000000.m3u8
BabyFirst,https://wabc.ml/hlk.php?id=78
Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/chunklist_b1728000_sleng.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/.m3u8
Animax,https://livecdn.fptplay.net/hda3/animaxport_2000.stream/.m3u8
ABC News,http://cms-wowza.lunabyte.io/wbrz-live-1/definst/smil:wbrz-live.smil/chunklist_b1300000.m3u8

💥新闻,#genre#
凤凰中文,http://111.13.42.232/PLTV/88888888/224/3221225942/1.m3u8?icpid=88888888&from=1&hms_devid=459?zgangd
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1$闽移动FHD
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1?zgangd
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT2805920220502041807053655
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1?zgangd
凤凰中文,http://39.135.55.7:6610/PLTV/88888888/224/3221227222/1ndex.m3u8?servicetype=1&IASHttpSessionld=OTT&IASHttpSessionId=OTT3514020220406143948025713?zgangd
凤凰中文,http://39.135.55.7:6610/PLTV/88888888/224/3221227222/1ndex.m3u8?servicetype=1&IASHttpSessionld=OTT?zgangd
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://111.13.42.230/PLTV/88888888/224/3221225949/1.m3u8?zgangd
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8?zgangd
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1$闽移动FHD
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1?zgangd
凤凰资讯,http://39.135.55.10:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT3410420220406144433022303?zgangd
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT2727320220502042549047624
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1?zgangd
凤凰资讯,http://39.135.55.7:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionld=OTT?zgangd
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8?zgangd
寰宇新闻,https://wabc.ml/hlk.php?id=136
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
东森新闻,https://ssttvv1.6zxr.xyz/dsxw/index.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
中天新闻,http://60.251.59.179:8529/http/192.168.77.24:8081/hls/64/806/ch16.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv1/1.m3u8?IASHttpSessionId=OTT
CCTV-1,http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1
CCTV-1,http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV-1,http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8
CCTV-1,http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV-1,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV-1,http://222.132.191.125:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV-13,http://117.169.120.142:8080/live/cctv-13/1.m3u8
CCTV-13,http://183.207.249.14/PLTV/3/224/3221225560/index.m3u8
CCTV-13,http://183.207.249.36/PLTV/4/224/3221227387/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.134.116.30:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
CCTV-13,http://39.135.55.105:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1
CCTV-13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV-13,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=yueyuHD_7000
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv2/1.m3u8?IASHttpSessionId=OTT
CCTV-2,http://39.135.55.105:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1
CCTV-2,http://39.135.55.105:6610/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1
CCTV-2,http://migu.jilu8.cn/3221232362/index.m3u8
CCTV-2,http://117.148.179.147/TVOD/88888888/224/3221231678/index.m3u8
CCTV-2,http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8
CCTV-2,http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV-4,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?$移动超清1080P
CCTV-4,http://222.132.191.125:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV-4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1
CCTV-4,http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1
CCTV-4,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=CCTV-4HD_7500
CCTV-4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4,http://117.148.179.182/TVOD/88888888/224/3221231726/index.m3u8
CCTV-4,http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8
